street,zip,city,Use_Code,Tax_Year,Tax_Value,year_built,lot_size,finished_sq_feet,bathrooms,bedrooms,zestimate
3119 Berkeley Ave,90026,LOS ANGELES,SingleFamily,2018,723372.0,1926,2300,960,3.0,2,918175
1254 N Mariposa Ave,90029,Los Angeles,MultiFamily5Plus,NA,NA,1930,NA,800,1.0,1,
15078 Del Gado Dr,91403,Sherman Oaks,SingleFamily,2018,38570.0,NA,6715,NA,NA,0,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16529 Midwood Dr,91344,GRANADA HILLS,SingleFamily,2018,363026.0,1961,12310,2062,3.0,3,767535
6868 Camrose Dr,90068,Hollywood,Townhouse,NA,NA,NA,NA,1300,2.0,2,751784
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6657 Denny Ave,91606,NORTH HOLLYWOOD,SingleFamily,2018,238428.0,1944,6251,999,1.0,3,561679
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15740 Sorbonne St,91342,SYLMAR,SingleFamily,2018,358217.0,1969,18074,2348,3.0,4,720946
6646 Ampere Ave,91606,NORTH HOLLYWOOD,SingleFamily,2018,756000.0,1950,6534,2232,3.0,4,790878
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8306 Gladbeck Ave,91324,NORTHRIDGE,SingleFamily,2018,530400.0,1957,9180,1858,2.0,3,629083
652 W 26th St,90731,SAN PEDRO,Duplex,2018,134659.0,1954,6009,3484,3.0,3,945800
6556 Babcock Ave,91606,NORTH HOLLYWOOD,SingleFamily,2018,355527.0,1942,5388,1301,2.0,3,658574
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3928 Michael Ave,90066,LOS ANGELES,SingleFamily,2018,1319775.0,1949,6000,1415,2.0,3,1411335
1651 Casale Rd,90272,PACIFIC PALISADES,SingleFamily,2018,1933127.0,1940,15920,4133,4.0,5,6448559
11339 Braddock Dr,90230,Los Angeles,SingleFamily,2018,238981.0,1949,4980,856,1.0,2,921156
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5808 Beckford Ave,91356,TARZANA,SingleFamily,2018,153170.0,1951,8999,1932,3.0,4,854149
6110 Delphi St,90042,LOS ANGELES,SingleFamily,2018,243762.0,1926,5942,868,1.0,2,776832
7117 Beckford Ave,91335,RESEDA,SingleFamily,2018,91512.0,1957,5935,1503,2.0,3,594602
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1497 W 1st St,90732,SAN PEDRO,SingleFamily,2018,430774.0,2017,6357,3800,5.5,5,1204023
11030 White Oak Ave,91344,GRANADA HILLS,SingleFamily,2018,397513.0,1978,3484,1492,3.0,3,623974
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6823 Penfield Ave,91306,WINNETKA,SingleFamily,2018,159958.0,1949,6751,1182,1.0,2,524589
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3800 Longridge Ave,91423,SHERMAN OAKS,SingleFamily,2018,2804648.0,1941,18181,3953,4.5,4,2943215
12347 Twilight Ave,91342,SYLMAR,Condominium,2018,293414.0,2002,111861,1799,3.0,4,492011
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
147 E 56th St,90011,LOS ANGELES,Duplex,2018,406360.0,1929,5287,1176,2.0,2,409655
