street,zip,city,Use_Code,Tax_Year,Tax_Value,year_built,lot_size,finished_sq_feet,bathrooms,bedrooms,zestimate
6714 3rd Ave,90043,LOS ANGELES,SingleFamily,2018,374857.0,1923,4803,1139,1.0,3,455477
4801 Saturn St,90019,LOS ANGELES,SingleFamily,2018,179099.0,1915,5610,962,1.0,2,1078438
234 W 79th St,90003,LOS ANGELES,Duplex,2018,192706.0,1913,6953,1332,2.0,3,451177
3757 Tracy St,90027,LOS ANGELES,SingleFamily,2018,76433.0,1937,3499,1213,2.0,2,1189356
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7611 S Main St,90003,LOS ANGELES,SingleFamily,2018,130456.0,1920,6361,1412,1.0,3,413993
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3775 Ruthelen St,90018,LOS ANGELES,SingleFamily,2018,531319.0,1922,3363,1720,3.0,3,695147
238 E 82nd St,90003,LOS ANGELES,SingleFamily,2018,359000.0,1938,5070,1110,2.0,3,386638
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
917 Rosemont Ave,90026,LOS ANGELES,SingleFamily,2018,649968.0,1901,3001,1605,2.0,4,953441
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9415 Yolanda Ave,91324,NORTHRIDGE,SingleFamily,2018,224095.0,1957,7500,1470,2.0,3,621324
3814 Latrobe St,90031,LOS ANGELES,SingleFamily,2018,74495.0,1965,3381,1344,3.0,3,721878
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1311 E Pacific Coast Hwy,90744,WILMINGTON,MultiFamily2To4,2018,317642.0,2008,2003,1100,1.0,2,417124
19712 Yosemite Cir,91326,PORTER RANCH,SingleFamily,2018,809210.0,1996,5400,2677,3.0,4,880601
5447 W 96th St,90045,LOS ANGELES,SingleFamily,2018,106719.0,1948,5875,1207,2.0,3,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7419 Irvine Ave,91605,NORTH HOLLYWOOD,SingleFamily,2018,354678.0,1958,6625,1862,3.0,3,613988
119 S Madison Ave,90004,LOS ANGELES,SingleFamily,2018,496442.0,1939,5533,1589,1.0,2,857431
5161 Pomona Blvd STE 214,90022,Los Angeles,Unknown,NA,NA,NA,NA,NA,NA,NA,572802
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6649 Colbath Ave,91405,VAN NUYS,SingleFamily,2018,227477.0,1949,7431,1131,1.0,3,628777
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6439 Bonner Ave,91606,NORTH HOLLYWOOD,SingleFamily,2018,606900.0,1947,7140,1900,2.0,4,708243
212 N Westlake Ave,90026,LOS ANGELES,Quadruplex,2018,407311.0,1981,5999,3312,4.0,8,1371632
8407 Kirkwood Dr,90046,LOS ANGELES,SingleFamily,2018,60061.0,1925,3484,1141,2.0,3,1071586
4620 Petit Ave,91436,ENCINO,SingleFamily,2018,1364852.0,1955,57015,4250,3.0,4,3056479
3439 Ferncroft Rd,90039,LOS ANGELES,SingleFamily,2018,279722.0,1930,4801,828,1.0,2,1026437
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8822 Debra Ave,91343,NORTH HILLS,SingleFamily,2018,326529.0,1960,8276,1315,2.0,3,557109
20637 Tulsa St,91311,CHATSWORTH,SingleFamily,2018,188216.0,1976,11000,2834,4.0,5,895922
8925 Wadsworth Ave,90002,Los Angeles,SingleFamily,NA,NA,NA,NA,1000,2.0,3,414275
14225 Herron St,91342,SYLMAR,SingleFamily,2018,437333.0,2002,10743,1876,2.0,4,585101
3947 Coolidge Ave,90066,LOS ANGELES,SingleFamily,2018,467393.0,1953,4585,1857,2.0,3,1423729
2322 Lemoyne St,90026,LOS ANGELES,SingleFamily,2018,224399.0,1928,6908,2832,2.0,4,1476584
8470 Waring Ave,90069,Los Angeles,SingleFamily,2018,173726.0,1927,2437,978,1.0,2,1381291
7056 Babcock Ave,91605,NORTH HOLLYWOOD,SingleFamily,2018,419742.0,1956,6534,1508,2.0,4,619525
13490 Eldridge Ave,91342,SYLMAR,SingleFamily,2018,287533.0,1946,4971,1085,1.0,3,474214
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12121 Foothill Blvd,91342,SYLMAR,SingleFamily,2018,1997241.0,1928,87335,2534,3.0,3,847430
2026 Federal Ave,90025,LOS ANGELES,VacantResidentialLand,2018,1300500.0,1926,6098,1202,NA,5,
4505 Saint Clair Ave,91604,STUDIO CITY,SingleFamily,2018,714081.0,1987,5001,2970,3.0,3,1602558
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
902 W 20th St,90007,San Pedro,SingleFamily,2018,223364.0,1952,4505,912,1.0,2,578115
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7442 Capps Ave,91335,RESEDA,SingleFamily,2018,92427.0,1958,8250,1737,2.0,3,607073
9443 Wystone Ave,91324,NORTHRIDGE,SingleFamily,2018,395311.0,1967,7768,2160,3.0,4,708807
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10376 Ilona Ave,90064,LOS ANGELES,SingleFamily,2018,691762.0,1930,6532,2434,4.0,3,2288954
14643 Greenleaf St,91403,SHERMAN OAKS,SingleFamily,2018,802472.0,1941,11411,3096,3.0,4,1877878
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17623 Valerio St,91406,VAN NUYS,SingleFamily,2018,452642.0,1950,6023,1422,2.0,4,548824
3960 Arlington Ave,90008,LOS ANGELES,SingleFamily,2018,207532.0,1927,8138,1652,1.0,3,642336
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19508 Hartland St,91335,RESEDA,SingleFamily,2018,201048.0,1951,6223,1064,1.0,3,516765
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16354 Midwood Dr,91344,GRANADA HILLS,SingleFamily,2018,157122.0,1962,13466,2004,3.0,3,770318
13029 Crowley St,91331,Arleta,SingleFamily,2018,320127.0,1956,6098,1283,2.0,3,539719
3729 S Muirfield Rd,90016,LOS ANGELES,SingleFamily,2018,224046.0,1945,6000,1104,1.0,3,734433
12364 Covello St,91605,NORTH HOLLYWOOD,Condominium,2018,249877.0,1979,192405,1575,3.0,4,464472
16557 Park Lane Cir,90049,LOS ANGELES,SingleFamily,2018,2347662.0,1962,11504,3549,5.0,5,2798592
6823 Valmont St,91042,Tujunga,Townhouse,NA,NA,2012,NA,1750,3.0,3,601967
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6661 Balcom Ave,91335,RESEDA,SingleFamily,2018,492660.0,1949,6459,1017,1.0,3,536013
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8260 Kyle St,91040,SUNLAND,SingleFamily,2018,247987.0,1953,6499,1495,2.0,3,616177
2335 Glyndon Ave,90291,VENICE,SingleFamily,2018,147847.0,1968,5849,1024,2.0,3,1700543
22040 Strathern St UNIT 9,91304,Los angeles,Townhouse,2018,383421.0,1982,99839,2026,2.5,3,520974
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8707 Topanga Canyon Blvd,91304,CANOGA PARK,SingleFamily,2018,378787.0,1973,12170,2106,3.0,4,598022
1629 S Sierra Bonita Ave,90019,LOS ANGELES,SingleFamily,2018,445277.0,1947,5592,1545,2.0,3,1012433
6928 Halbrent Ave,91405,VAN NUYS,SingleFamily,2018,326060.0,1951,6081,2328,3.0,4,717535
8221 Delgany Ave,90293,PLAYA DEL REY,SingleFamily,2018,1812000.0,1955,6000,2910,3.5,4,1790264
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4846 Oak Park Ave,91316,ENCINO,SingleFamily,2018,1143726.0,1946,12678,2768,3.0,4,1775193
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4411 Brookford Ave,91364,WOODLAND HILLS,SingleFamily,2018,757577.0,1959,10921,2115,2.0,4,959195
2510 W Temple St APT 304,90026,Los Angeles,MultiFamily2To4,NA,NA,NA,NA,911,2.0,2,868027
15076 Roxford St,91342,SYLMAR,Duplex,2018,113928.0,1942,6748,908,2.0,3,490984
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11856 Art St,91352,SUN VALLEY,SingleFamily,2018,298381.0,1927,7405,1287,2.0,3,559290
8900 Balcom Ave,91325,Sherwood Forest,SingleFamily,2018,663362.0,1953,22140,3805,3.0,4,1303294
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5052 Rosewood Ave,90004,LOS ANGELES,SingleFamily,2018,311192.0,1921,6589,1617,2.0,1,1359807
20619 Rodax St,91306,WINNETKA,SingleFamily,2018,235996.0,1956,7660,1879,2.0,4,619228
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9717 Shoshone Ave,91325,NORTHRIDGE,SingleFamily,2018,486270.0,1960,13482,2670,3.0,3,833214
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5008 Sierra Villa Dr,90041,LOS ANGELES,SingleFamily,2018,232147.0,1954,7292,1552,2.0,4,923162
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1718 N Occidental Blvd,90026,LOS ANGELES,SingleFamily,2018,897825.0,1936,2916,1120,1.0,2,922098
12450 Bromwich St,91331,PACOIMA,SingleFamily,2018,29893.0,1917,8868,977,1.0,3,439258
638 S Citrus Ave,90036,LOS ANGELES,SingleFamily,2018,927913.0,1922,6463,2358,2.0,3,1693454
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5612 Saturn St,90019,LOS ANGELES,SingleFamily,2018,714000.0,1928,3570,1324,1.0,2,1034831
2749 Hyans St,90026,LOS ANGELES,SingleFamily,2018,210501.0,1935,4800,850,1.0,2,714134
12038 Bradford Pl,91344,GRANADA HILLS,SingleFamily,2018,1070000.0,1912,36886,2996,4.0,4,1111080
2142 S Palm Grove Ave,90016,LOS ANGELES,Duplex,2018,171535.0,1924,4285,1353,2.0,2,604651
10310 Wilsey Ave,91042,TUJUNGA,SingleFamily,2018,331442.0,1950,4890,1361,2.0,4,583999
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18312 Minnehaha St,91326,PORTER RANCH,SingleFamily,2018,98205.0,1960,11149,1570,2.0,3,679590
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13406 Lochrin Ln,91342,SYLMAR,SingleFamily,2018,560000.0,1976,9583,1433,2.0,3,559036
4515 Waldo Ct,90032,LOS ANGELES,SingleFamily,2018,77064.0,1950,4883,1092,1.0,3,604076
3432 Abalone Ave,90732,SAN PEDRO,SingleFamily,2018,559476.0,1957,6000,1682,2.0,3,913404
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5202 Pacific Ave,90292,MARINA DEL REY,SingleFamily,2018,3700000.0,1991,3817,4336,4.0,5,3870976
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13074 Discovery Crk,90094,PLAYA VISTA,SingleFamily,2018,2346000.0,2006,38472,3557,3.5,4,2554118
17413 Bullock St,91316,ENCINO,SingleFamily,2018,847926.0,1949,NA,2053,2.0,3,875449
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6947 Matilija Ave,91405,VAN NUYS,SingleFamily,2018,585000.0,1948,6751,1290,2.0,4,653061
5127 3rd Ave,90043,LOS ANGELES,SingleFamily,2018,122319.0,1921,5426,1799,2.0,4,612791
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
714 W 169th St,90247,GARDENA,SingleFamily,2018,467138.0,1957,5923,1364,2.0,3,588759
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8233 Whitsett Ave,91605,NORTH HOLLYWOOD,SingleFamily,2018,61996.0,1953,6430,1038,2.0,3,541887
5284 Village Grn,90016,LOS ANGELES,Condominium,2018,173000.0,1942,529449,849,1.0,1,486794
17039 Tulsa St,91344,GRANADA HILLS,SingleFamily,2018,435723.0,1953,7491,1584,2.0,3,636467
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20731 Dolorosa St,91367,WOODLAND HILLS,SingleFamily,2018,150208.0,1960,8915,1404,2.0,3,762962
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14802 Huston St,91403,SHERMAN OAKS,SingleFamily,2018,718490.0,1956,6074,1520,2.0,3,905470
8152 Cornett Dr,90046,LOS ANGELES,SingleFamily,2018,134004.0,1938,14573,1704,2.0,3,1842249
4322 Gentry Ave,91604,STUDIO CITY,SingleFamily,2018,1378529.0,1935,6917,1163,1.0,2,1232706
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1340 S Alma St,90731,SAN PEDRO,SingleFamily,2018,397055.0,1939,4603,1090,1.0,2,566007
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10516 Blythe Ave,90064,LOS ANGELES,SingleFamily,2018,75968.0,1923,6253,1000,1.0,2,1692977
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
843 Woodacres Rd,90402,SANTA MONICA,SingleFamily,2018,5956369.0,1987,30458,9320,8.0,5,13343271
10225 Regent St APT 3,90034,Los Angeles,MultiFamily2To4,NA,NA,NA,NA,1000,1.5,2,1639586
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1616 N Poinsettia Pl APT 426,90046,Los Angeles,Apartment,NA,NA,NA,NA,NA,1.0,1,
1243 Isabel St,90065,LOS ANGELES,SingleFamily,2018,41751.0,1925,3052,785,1.0,2,668474
1740 Stone Canyon Rd,90077,LOS ANGELES,SingleFamily,2018,2801159.0,1966,34442,3475,3.0,4,4097712
438 N Alta Vista Blvd,90036,LOS ANGELES,Duplex,2018,1513077.0,1927,7700,2517,4.0,4,1796332
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16800 Vintage St,91343,NORTH HILLS,SingleFamily,2018,535500.0,1961,9889,1316,2.0,3,606320
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12040 Stagg St,91605,NORTH HOLLYWOOD,VacantResidentialLand,2018,724200.0,1954,8712,2251,NA,4,
10224 Saloma Ave,91345,MISSION HILLS,SingleFamily,2018,93757.0,1953,8463,1517,2.0,3,557297
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2843 N North Coolidge Ave,90039,Los Angeles,SingleFamily,2018,157029.0,1927,5029,1037,1.0,2,739646
4355 Beethoven St,90066,LOS ANGELES,SingleFamily,2018,256199.0,1950,4400,861,1.0,2,1139368
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
751 W Imperial Hwy,90044,LOS ANGELES,SingleFamily,2018,2224000.0,1923,8827,1072,1.0,2,
6606 Cantaloupe Ave,91405,VAN NUYS,SingleFamily,2018,288405.0,1950,7384,2058,2.0,3,708726
3166 San Marino St,90006,LOS ANGELES,Quadruplex,2018,640481.0,1912,2437,2996,4.0,8,1372065
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5747 Bowesfield St,90016,LOS ANGELES,SingleFamily,2018,264924.0,1948,6355,1604,2.0,2,955351
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4422 S San Pedro St,90011,LOS ANGELES,Duplex,2018,18686.0,1921,4354,1206,2.0,3,435584
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18334 Keswick St,91335,RESEDA,Condominium,2018,371671.0,2001,21641,2062,4.0,4,564474
19537 Wells Dr,91356,TARZANA,SingleFamily,2018,916239.0,1955,18880,2970,5.0,5,1351659
936 W 52nd St,90037,LOS ANGELES,SingleFamily,2018,361736.0,1908,6969,1652,2.0,4,529781
13241 Whistler Ave,91344,GRANADA HILLS,SingleFamily,2018,383802.0,1967,8675,3031,4.0,5,852455
1417 W 84th St,90047,LOS ANGELES,SingleFamily,2018,332928.0,1924,6534,1092,1.0,3,464038
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8947 Olin St,90034,LOS ANGELES,SingleFamily,2018,550799.0,1923,6606,2326,3.0,3,1872365
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6961 Balcom Ave,91335,RESEDA,SingleFamily,2018,480420.0,1949,6904,1220,2.0,3,597610
13347 Killion St,91401,Sherman Oaks,SingleFamily,2018,709165.0,1972,6546,2826,4.0,4,1219991
2251 W 20th St,90018,LOS ANGELES,SingleFamily,2018,363000.0,1903,10018,2652,1.5,4,1140354
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20056 Betz Dr,91306,Winnetka,Condominium,2018,557736.0,2016,NA,1822,3.0,3,610078
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23357 Vanowen St,91307,WEST HILLS,SingleFamily,2018,551411.0,1959,7760,1906,3.0,4,722365
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2211 Marathon St,90026,LOS ANGELES,SingleFamily,2018,33773.0,1909,4199,1284,3.0,3,1009443
13100 Terra Bella St,91331,PACOIMA,SingleFamily,2018,66334.0,1955,7664,900,1.0,2,431210
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13200 Glamis St,91331,PACOIMA,SingleFamily,2018,374543.0,1951,7499,1070,1.0,3,464387
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
200 N San Fernando Rd APT 108,90031,Los Angeles,Condominium,2018,470000.0,1925,53600,1440,2.0,1,657865
3808 Middlebury St,90004,LOS ANGELES,Duplex,2018,280967.0,2005,2610,1680,4.0,4,1025139
4257 S Flower St,90037,LOS ANGELES,SingleFamily,2018,202644.0,1937,6004,1734,1.0,5,494398
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4160 2nd Ave,90008,LOS ANGELES,SingleFamily,2018,44327.0,1930,6499,1724,2.0,3,725619
361 N Vista St,90036,LOS ANGELES,SingleFamily,2018,1103901.0,1956,6100,2356,2.0,3,1967335
12316 Otsego St,91607,VALLEY VILLAGE,SingleFamily,2018,249339.0,1950,5749,1069,1.0,2,853881
3274 Rosewood Ave,90066,LOS ANGELES,SingleFamily,2018,328274.0,1953,6180,1358,2.0,3,1852490
722 Milford St,90042,LOS ANGELES,SingleFamily,2018,689396.0,2004,7215,2667,4.0,3,1001300
1874 El Cerrito Pl,90068,Los Angeles,Apartment,NA,NA,1941,NA,1100,1.0,2,
2739 S Redondo Blvd,90016,LOS ANGELES,MultiFamily2To4,2018,412161.0,1938,4800,1570,2.0,3,713029
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3646 West Blvd,90016,LOS ANGELES,SingleFamily,2018,383015.0,1942,6028,1730,2.0,3,876403
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1256 W 29th St # 5Z9CZ4PQZ,90007,Los Angeles,MultiFamily5Plus,NA,NA,NA,NA,500,1.0,1,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1132 Oban Dr,90065,Los Angeles,SingleFamily,2018,59229.0,NA,6678,NA,NA,0,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6477 Foothill Blvd,91042,TUJUNGA,SingleFamily,2018,527762.0,1963,15696,11000,NA,NA,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
755 S Spring St APT 2528,90014,Los Angeles,MultiFamily5Plus,NA,NA,NA,NA,715,1.0,1,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2701 S Palm Grove Ave,90016,LOS ANGELES,SingleFamily,2018,331166.0,1906,5198,1719,2.0,5,720568
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4601 Saturn St,90019,LOS ANGELES,SingleFamily,2018,336687.0,1920,3499,1095,2.0,2,733237
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4837 Hayvenhurst Ave APT 13,91436,Encino,Apartment,NA,NA,1957,NA,810,1.0,1,
7184 Woodrow Wilson Dr,90068,LOS ANGELES,SingleFamily,2018,273840.0,1965,3728,1776,3.0,3,1236077
18500 S Dalton Ave,90248,GARDENA,SingleFamily,2018,89594.0,1958,5250,1364,2.0,3,618969
3116 Isabel Dr,90065,LOS ANGELES,SingleFamily,2018,239632.0,2004,4416,2290,3.0,4,1048883
14832 W Sunset Blvd,90272,PACIFIC PALISADES,SingleFamily,2018,646078.0,1950,6899,1800,2.0,2,3001055
7939 Flight Pl,90045,LOS ANGELES,SingleFamily,2018,801067.0,1949,5601,1600,2.0,3,1054008
3782 Ashwood Ave,90066,LOS ANGELES,SingleFamily,2018,73884.0,1928,5278,1286,1.0,3,1438847
3323 Linda Vista Ter,90032,LOS ANGELES,Triplex,2018,308550.0,1922,7088,2370,3.0,6,705346
2306 S La Salle Ave,90018,Los Angeles,Condominium,NA,NA,1912,NA,1078,1.75,3,626271
10858 Fruitland Dr,91604,STUDIO CITY,SingleFamily,2018,1025313.0,1948,6679,2250,4.0,4,1606985
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8800 Orchard Ave,90044,LOS ANGELES,Triplex,2018,290499.0,1938,5726,2312,3.0,5,634605
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
147 W 56th St,90037,LOS ANGELES,SingleFamily,2018,292221.0,1912,5440,1102,1.0,3,383432
11915 Carl St,91342,SYLMAR,SingleFamily,2018,170828.0,1965,7519,1242,2.0,3,522021
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8433 Densmore Ave,91343,NORTH HILLS,SingleFamily,2018,194023.0,1950,7535,1194,2.0,3,533857
662 N Vendome St,90026,LOS ANGELES,SingleFamily,2018,243552.0,1922,6999,1974,3.0,4,1098874
5215 Tyrone Ave,91401,Sherman Oaks,SingleFamily,2018,115325.0,1947,8098,1570,2.0,3,899677
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3426 Merrimac Rd,90049,LOS ANGELES,SingleFamily,2018,1784645.0,1955,21780,2560,3.0,3,2393067
3206 Stocker St,90008,LOS ANGELES,Quadruplex,2018,226229.0,1938,5504,4236,4.0,4,1096581
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2334 S Redondo Blvd,90016,LOS ANGELES,SingleFamily,2018,639845.0,1922,4800,1401,2.0,3,782715
15749 Romar St,91343,NORTH HILLS,SingleFamily,2018,313849.0,1944,6534,1322,2.0,3,542558
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2401 Crest View Dr,90046,LOS ANGELES,SingleFamily,2018,598622.0,1977,90016,2690,2.0,3,2936102
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6547 Day St,91042,TUJUNGA,SingleFamily,2018,342206.0,1951,5619,1010,2.0,2,559637
